id,i_dialog,i_utterance,speaker,utterance,Expected
195,26,3,Casting Director #2,"No, the line is pick a bag, so you need to pick up the bag.",5
196,26,4,Joey,"Or, I could just point to it! Huh? Blah, blah, blah,",5
197,26,5,Casting Director #2,No.,5
198,26,6,Joey,"Yeah, okay.",5
199,27,0,Joey,Hey!,5
200,27,1,Ross,Hey!,5
201,27,2,Rachel,Hey!,5
202,27,3,Phoebe,Hey!,5
203,27,4,Rachel,"Hey, what have you guys been up to?",5
204,27,5,Ross,"Oh, we were helping Chandler write his vows, but he kicked us out because Joey kept making inappropriate suggestions.",5
205,27,6,Joey,"How is ""Monica, I love your sweet ass,"" inappropriate?",5
206,27,7,Ross,How?s Monica coming along with her vows?,5
207,27,8,Phoebe,"Well let?s just say its.. she?s lucky she has a sweet ass, ?cause she?s not so good at the writing.",5
208,28,0,Monica,Did not.,5
209,28,1,Young Ethan,"I am telling you, up until I was, like nine, I thought that gunpoint was an actual place where crimes happen.",5
210,28,2,Monica,How was that possible?,5
211,28,3,Mrs. Geller,"Oh, we're having spaghetti! That's.... easy.",5
212,28,4,Monica,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing?",5
213,28,5,Monica,Because I think it might take some of the heat off me.,5
214,29,0,Bob,"Hey Toby, you got a sec?",5
215,29,1,Chandler,"Sure, what?s up?",5
216,29,2,Bob,"I just had a meeting, I was actually hoping to get transferred up here, but I just found out its not gonna happen.",5
217,29,3,Bob,Apparently somebody thinks I?m not eleventh floor material.,5
218,29,4,Bob,"Say uh, who the",5
219,30,0,Chandler and Phoebe,"I?ll be a fool for you. I?m sure, you know I don?t mind",5
220,30,1,Chandler and Phoebe,Yes! You mean the world the world to me. Oh...,5
221,30,2,Chandler,I know,5
222,30,3,Phoebe,I know,5
223,30,4,Chandler,I?ve found,5
224,30,5,Phoebe,I?ve found....,5
225,30,6,Chandler and Phoebe,"...in you, my endless",5
226,31,0,Frank,"You hopped a little bit. Yeah, I really sorry.",5
227,31,1,Phoebe,"Okay. All right, this is my favourite part of the weekend, right now, this.",5
228,31,2,Frank,This?,5
229,31,3,Phoebe,Uh-huh.,5
230,31,4,Frank,"Oh come on we went, we went to Time Square, we found ninja stars, I almost got arm broken by a hooker...",5
231,31,5,Phoebe,She wasn?t a hooker.,5
232,31,6,Frank,"Well, when I tell my friends about her she will be.",5
233,32,0,Doug,"Oh Bing, look at those twin sisters dancing together. Let me buy you a lap dance with those girls. Huh?",5
234,32,1,Chandler,"Oh that?s all right sir, and that?s just one girl.",5
235,32,2,Doug,Bing?What?s this?!,5
236,32,3,Chandler,It?s a hand. It?s a thing you use as a,5
237,32,4,Doug,"No, it?s a wedding ring. You gotta get rid of it. We?re gonna go to the East River right now and throw it in there!",5
238,32,5,Chandler,Oh no-no-no!,5
239,32,6,Doug,"Oh yeah-yeah-yeah, y?know I did it and I felt a hell of a lot better and if you whip it just right you might hit a seagull in the head.",5
240,33,0,Rachel,"Hey Mon, what are you doing now? Wanna come see a movie with us?",5
241,33,1,Chandler,Arghhhhhh!!,5
242,33,2,Joey,"It worked! I scared ya, I knew it! Ha-ha!",5
243,33,3,Chandler,I'm over here big guy.,5
244,33,4,Joey,"Yeah, you are!  I scared you!",5
245,34,0,Monica,Hey guys! Do you wanna look at the song list for the wedding?  Guys?,5
246,34,1,Chandler,I thought you were gonna be gone all day.,5
247,34,2,Monica,"Alright, what?s going on?",5
248,34,3,Monica,I?m sorry. I?m sorry. I-I should probably leave you girls alone.,5
249,34,4,Ross,"Yeah, laugh all you want but in ten minutes we?re gonna have younger looking skin!",5
250,34,5,Joey,"Yeah!  Y?know, she could use a little?  Oh nice shot!!!",5
251,35,0,Frannie,"Hey, Monica!",5
252,35,1,Monica,"Hey Frannie, welcome back! How was Florida?",5
253,35,2,Frannie,"You had sex, didn't you?",5
254,35,3,Monica,How do you do that?,5
255,35,4,Frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex!",5
256,35,5,Monica,You know Paul?,5
257,35,6,Frannie,"Paul the Wine Guy? Oh yeah, I know Paul.",5
258,35,7,Monica,You mean you know Paul like I know Paul?,5
259,35,8,Frannie,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",5
260,36,0,Ms. McKenna,"Ok if everyone’s on board, it’s settled, Chandler,   Chandler?",5
261,36,1,Chandler,Yep.,5
262,36,2,Ms. McKenna,Are you on board?,5
263,36,3,Chandler,Yes.,5
264,36,4,Ms. McKenna,"Then, problem solved. Chandler will be running our office  in Tulsa. You’re gonna love Oklahoma.",5
265,37,0,Ross,Rachel!! Monica!!,5
266,37,1,Joey,Come on!,5
267,37,2,Ross,I can?t believe this!!,5
268,37,3,Joey,"All right well, y?know?I guess we know what we have to do to get down.",5
269,37,4,Ross,"Yeah, I guess we don?t have a choice.  Help us! Please help us! We?re stuck up on the roof and we can?t get down!!!",5
270,37,5,Joey,Ross. I was thinking we could just go down the fire escape.,5
271,37,6,Ross,"I know, I wasn?t finished.   But don?t worry! We?re gonna go down the fire escape!!",5
272,38,0,Rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,5
273,38,1,Chandler,And yet you're surprisingly upbeat.,5
274,38,2,Rachel,"You would be too if you found John and David boots on sale, fifty percent off!",5
275,38,3,Chandler,"Oh, how well you know me...",5
276,38,4,Rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",5
277,38,5,Monica,How'd you pay for them?,5
278,38,6,Rachel,"Uh, credit card.",5
279,38,7,Monica,And who pays for that?,5
280,38,8,Rachel,Um... my... father.,5
281,39,0,Rachel,Well hello! Welcome to Monica's. May I take your coat?,5
282,39,1,Monica,Hi Steve!,5
283,39,2,Steve,"Hello, Monica.  Hello, greeter girl.",5
284,39,3,Monica,This is Rachel.,5
285,39,4,Steve,"Yeah, OK.",5
286,39,5,Phoebe,"Mmmmmm! Everything smells so delicious! You know, I can't remember a time I smelt such a delicious combination of  of, OK, smells.",5
287,39,6,Steve,It's a lovely apartment.,5
288,40,0,Ross,Yes! My baby?s finally free!,5
289,40,1,Joey,All-all right!  Start it up! Let?s go!,5
290,40,2,Ross,Woohoo!,5
291,40,3,The Man In The Sportscar,How hot are we?,5
292,40,4,Ross,You wanna buy a car?,5
293,40,5,Joey,No.,5
294,41,0,Dr. Franzblau,"I don't know, could be an hour, could be three, but relax, she's doing great.",5
295,41,1,Dr. Franzblau,"So, uh, tell me, are you currently involved with anyone?",5
296,41,2,Rachel,"No, no, not at the moment, no, I'm not. Are you?",5
297,41,3,Dr. Franzblau,"No, it's hard enough to get women to go out with me.",5
298,41,4,Rachel,"Right, yeah, I've heard that about cute doctors.",5
299,41,5,Dr. Franzblau,"No, no, really. I suppose it's because I spend so much time, you know, where I do.",5
300,41,6,Rachel,Oh.,5
301,41,7,Dr. Franzblau,"I try not to let my work affect my personal life, but it's hard, when you... do what I do.",5
302,41,8,Dr. Franzblau,"It's like uh...Well, for instance, what do you do?",5
303,42,0,Joey,Hey.,5
304,42,1,Chandler,Hey.,5
305,42,2,Joey,Oh.  Sorry!,5
306,42,3,Chandler,"No-no-no, y?know what?",5
307,42,4,Chandler,"I really shouldn?t have said that you were embarrassing me, I mean that really wasn?t cool.",5
308,42,5,Chandler,"And if it makes you feel any better, I?ve had a really lousy day.",5
309,42,6,Joey,Me too.,5
310,42,7,Chandler,Yeah?,5
311,42,8,Joey,"Noo!! I?ve had the best day ever! Dude, check this out!",5
312,43,0,Joey's Doctor,"Mr. Tribbiani, I'm afraid you've got kidney stones.",5
313,43,1,Joey,"Umm, well, what else could it be?",5
314,43,2,Joey's Doctor,It's kidney stones.,5
315,43,3,Joey,Or?,5
316,43,4,Joey's Doctor,Kidney stones!,5
317,44,0,Ross,"Okay, I don't think it's going to pivot anymore.",5
318,44,1,Rachel,You think?!,5
319,44,2,Ross,"All right, let's uh, let's bring it back down and-and try again.",5
320,44,3,Chandler,"Okay, yeah, I think it's really stuck now.",5
321,44,4,Ross,I can't believe that didn't work!,5
322,44,5,Rachel,"I know, me neither! I mean, you",5
323,44,6,Chandler,"Oh, y'know, what did you mean when you said pivot?",5
324,45,0,Bitter lady,"Well, I bet you are all thinkin' ""Now would be a really    great time for an intermission"", huh?",5
325,45,1,Chandler,"oh yes, God yes!!",5
326,45,2,Bitter lady,"Well, you're not gonna get one!",5
327,45,3,Bitter lady,"Because in    life there are no intermissions, people.",5
328,45,4,Bitter lady,Chapter 7: Divorce is a 4 letter word.,5
329,45,5,Chandler,I... I don't know... you seem lovely.,5
330,46,0,Ross,Grab a spoon.,5
331,46,1,Ross,Do you know how long it's been since I've grabbed a spoon?,5
332,46,2,Ross,"Do the words 'Billy, don't be a hero' mean anything to you?",5
333,46,3,Joey,"Great story!? But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...? Oh man,",5
334,46,4,Chandler,"Angela's the screamer, Andrea has cats.",5
335,46,5,Joey,Right.? Thanks.? It's June.? I'm outta here.,5
336,46,6,Ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",5
337,47,0,Ross,"Okay, and oh I?m gonna need a bunch of extra keys. Apparently I give them away for no reason at all.",5
338,47,1,Mona,"Hey Ross, what?s going on? You changing the lock?",5
339,47,2,Ross,No. That guy is.,5
340,47,3,Mona,I don?t understand. You-you give me a key to your apartment and then you change the lock.,5
341,47,4,Mona,"Umm, I-I thought we were moving forward and now you?re-you?re sending me all these mixed signals. What are you trying to tell me?",5
342,47,5,Ross,I?m trying to tell you I made you a mix tape.,5
343,47,6,Mona,What?,5
344,47,7,Ross,I love you!,5
345,47,8,Mona,Ohh!  And I love spending time with you.,5
346,48,0,Ross,I remember the moonlight coming through the window- and her face had the most incredible glow.,5
347,48,1,Chandler,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",5
348,48,2,Joey,"He's right, enough, already.",5
349,48,3,Joey,What is the big deal about today?,5
350,48,4,Joey,"So you slept with her for the first time, so what?",5
351,48,5,Joey,You slept with her for seven years after that.,5
352,48,6,Ross,"Look, it's just a little more complicated...",5
353,49,0,Joey,How can you say that?! The,5
354,49,1,Erin,What about Benitez?,5
355,49,2,Joey,What about Game 1 of the Series?,5
356,49,3,Erin,What about shut up?,5
357,49,4,Ross,That was you?,5
358,49,5,Ross,"Oh I, I don?t-I don?t think that would be the best idea.",5
359,49,6,Ross,What time?,5
360,49,7,Ross,Gotcha.,5
361,49,8,Ross,"Oh! So-so seriously, what time?",5
362,50,0,Rachel,Hey Pheebs.,5
363,50,1,Phoebe,Hey!,5
364,50,2,Rachel,Any sign of your brother?,5
365,50,3,Phoebe,"No, but he?s always late.",5
366,50,4,Rachel,I thought you only met him once?,5
367,50,5,Phoebe,"Yeah, I did. I think it sounds y'know big sistery, y'know, ?Frank?s always late.?",5
368,50,6,Rachel,"Well relax, he?ll be here.",5
369,50,7,Phoebe,"No, I know, I?m just nervous.",5
370,50,8,Phoebe,"Y'know it?s just y'know Mom?s dead, don?t talk to my sister, Grandma?s been sleeping a lot lately.",5
371,50,9,Phoebe,"It?s like the last desperate chance to have a family, y'know, kinda thing.",5
372,50,10,Phoebe,You?re so sweet to wait with me.,5
373,50,11,Rachel,"Well, actually Gunther sent me. You?re not allowed to have cups out here, it?s a thing.",5
374,51,0,Ross,"And if you think about it, I mean the reason he memorized all    that stuff is because he thought it was important to you.",5
375,51,1,Ross,"You know, that's the    kind of guy Joey is.",5
376,51,2,Charlie,He is very sweet. Plus he's,5
377,51,3,Ross,That was going to be my next argument.,5
378,51,4,Joey,Hey!,5
379,51,5,Ross,Hey!,5
380,51,6,Charlie,Hey!,5
381,51,7,Joey,You're ready?,5
382,51,8,Charlie,"Yeah, let's go.   Thanks    Ross.",5
383,51,9,Joey,"Hey Ross! That art stuff worked, you hooked me    up.",5
384,51,10,Ross,Glad I could help man.,5
385,51,11,Joey,"Although some of that stuff wasn't where you said it was gonna    be, but...  I made it work.",5
386,52,0,Phoebe,Wow! I cannot believe Mark asked you out.,5
387,52,1,Rachel,I know.,5
388,52,2,Phoebe,"What, so what are you gonna tell him?",5
389,52,3,Rachel,"Well, I told him I would think about it, but I?m gonna tell him no.",5
390,52,4,Phoebe,Huh.,5
391,52,5,Rachel,I mean I think I?d say no to anybody right now.,5
392,52,6,Rachel,"Oh, but it was so strange.",5
393,52,7,Rachel,"I mean I?m standing there with this charming, cute guy, who?s asking me to go out with him, which I?m allowed to do, and I felt guilty.",5
394,52,8,Rachel,"Y'know, like I?d be cheating on Ross or something.",5
395,52,9,Phoebe,"Wow. So, okay, maybe that means that, you?re not over Ross yet and you have issues with your father.",5
396,52,10,Rachel,I don?t have any issues with my Father.,5
397,52,11,Phoebe,"Okay, so it?s probably just the Ross thing then.",5
398,53,0,Chandler,I don?t think this town is big enough for both of us to relax in.  Draw!!,5
399,53,1,Chandler,"I wasn?t doing anything.  Uh-oh, what did she do now?",5
400,53,2,Joey,"Just because she went to Yale drama, she thinks she?s like the greatest actress since, since, sliced bread!",5
401,53,3,Chandler,"Ah, Sliced Bread, a wonderful Lady MacBeth.",5
402,53,4,Joey,"God, I just, I hate her!",5
403,53,5,Joey,I hate her!!,5
404,53,6,Joey,"With her, ?Oh, I?m so talented.? and ?Oh, I?m so pretty,? and ?Ooh, I smell so good.?",5
405,53,7,Chandler,I think somebody has a crush on somebody.,5
406,53,8,Joey,"Hey, Chandler, can we please stay focused on my problem here?! Y'know?",5
407,53,9,Chandler,"I?m talking about you. You big, big freak.",5
408,53,10,Joey,"Oh.  Ohh. Ohh, you?re out of your mind.",5
409,53,11,Chandler,"Hey, you have nothing but talk about her for the last 48 hours!",5
410,53,12,Chandler,If you were in a school yard you?d be pulling her pigtails and pushing her down now!,5
411,53,13,Joey,"Oh, yeah?! Then how come I keep thinking about her in all these sexual scenarios and stuff huh?!",5
412,54,0,Chandler,...Poulet passes it up to Leetch!,5
413,54,1,Joey,Leetch spots Messier in the crease- there's the pass!,5
414,54,2,Chandler,We'll take a brief time out while Messier stops to look at some women's shoes.,5
415,54,3,Ross,Carol was wearing boots just like those the night that we- we first- y'know.,5
416,54,4,Ross,"Fact, she, uh- she never took'em off, 'cause we-we-  Sorry.",5
417,54,5,Ross,Sorry.,5
418,54,6,Rachel,I'm a waitress.,5
419,54,7,Dr. Franzblau,"Ok, all right, well aren't there times when you come home at the end of the day, and you're just like, 'if I see one more cup of coffee'...",5
420,54,8,Rachel,Yeah. Gotcha.,5
421,54,9,Dr. Franzblau,I'm gonna go check up on your friend.,5
422,54,10,Rachel,Ok. That's fine.,5
423,55,0,Chandler,"Joey, what-wh-wh-wha-wh-wha-wh-wha-wh-wha-what are you doing here?",5
424,55,1,Joey,Waiting for my Grandma to finish my laundry. What about you?,5
425,55,2,Chandler,I?m here to see Mary-Angela.,5
426,55,3,Joey,You are so the man!,5
427,55,4,Joey,"Now look, listen, listen, you got to be cool, ?cause my Grandma doesn?t know about you two yet, and you do not want to tick her off.",5
428,55,5,Joey,She was like the sixth person to spit on Mussolini's hanging body.,5
429,55,6,Joey,Yeah.,5
430,55,7,Chandler,Where?s Mary-Angela?,5
431,55,8,Joey,She?s right in there.,5
432,55,9,Joey,Morning.,5
433,55,10,Chandler,Actually he?s the smallest person in the world.,5
434,55,11,Joey,Heard about the leg burnin? huh?,5
435,55,12,Chandler,It came up.,5
436,55,13,Joey,"Listen, I ah, I know it?s a longshot. But, by any chance did she find that funny?",5
437,56,0,Chandler,Airplane,5
438,56,1,Rachel,"Oh, time's up.",5
439,56,2,Monica,Bye... bye...,5
440,56,3,Monica,What's a 'niffle'?,5
441,56,4,Joey,You usually find them on the 'heaving beasts'.,5
442,56,5,Rachel,"Alright, alright, so I'm not a great typist...",5
443,56,6,Ross,"Wait, did you get to the part about his 'huge throbbing pens'?",5
444,56,7,Ross,"Tell ya, you don't wanna be around when he starts writing with those!",5
445,56,8,Rachel,"Alright, that's it! Give it back! That's it!",5
446,56,9,All,Nooo!,5
447,57,0,Monica,"Ok, I don’t wanna be negative so I’ll say that most of the  signs you bought are good.",5
