"speaker","utterance","emotion","annotation"
"Joey","No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!","fear","0003101"
"Chandler","Thats a hernia.","non-neutral","2000021"
"Joey","Why did I have to start working out again?  Damn you 15s!","anger","0000401"
"Mona","I love your place! Where is this guy from?","joy","1400000"
"Ross","Uh thats an eighteenth century Indian artifact from Calcutta.","neutral","4100000"
"Mona","Oh wow! So, youre more than just dinosaurs.","surprise","0100040"
"Ross","So much more.","neutral","5000000"
"Ross","Well, well to sum up, were having fun, you look young.","neutral","3200000"
"Mona","Okay","neutral","5000000"
"Ross","But thats not enough. So Soheres a key to my apartment.","neutral","5000000"
"Mona","Really?!","surprise","0010040"
"Ross","Really.","neutral","4100000"
"Mona","You dont think this is too fast.","neutral","3000020"
"Ross","Get Out!","anger","0000410"
"Charlie","Ross, can I talk to you for a minute?","neutral","3020000"
"Ross","Yes, please!  So, what's going on?","neutral","3200000"
"Charlie","Uh, well... Joey and I broke up.","sadness","0050000"
"Ross","Oh my God, wh-what happened?","surprise","0000050"
"Charlie","Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!","sadness","0030002"
"Ross","I knew that was him!","non-neutral","0000212"
"Charlie","Anyway I just, uh, I think it's for the best.","sadness","1040000"
"Ross","Hey, you ok?","neutral","3020000"
"Charlie","I guess.","sadness","2030000"
"Charlie","There was hum...  there was another reason that I thought it was time to end it with Joey.","neutral","4010000"
"Charlie","I started to realize that I was having feelings for someone  else.","neutral","3020000"
"Paleontologist","Ok Geller. Last day of the conference, you know what happens to the keynote speaker.","neutral","4100000"
"Ross","Oh, professor Clerk we're kind of in the middle of a conversation, here.","neutral","3000200"
"Charlie","Yeah, can you guys just throw him in the pool later?","neutral","4000001"
"Professore Clerk","Or we could throw you both in","non-neutral","2100101"
"Ross","Ok, gentlemen!","anger","1100300"
"Ross","Please!","anger","0000410"
"Ross","Aren't we a little old for this?","anger","0000401"
"Ross","I mean, we're scientists, right?","non-neutral","2010101"
"Ross","We're academics.","non-neutral","2010101"
"Ross","And most importantly I... you-you will have to catch us first.","joy","1301000"
"Ross",".","neutral","4000100"
"Ross","GO, GO, GO!","joy","0301010"
"Ross","Go, go, go!","joy","0500000"
"Rachel","Oh yeah, now everybody wants to be under this hat!","joy","1300001"
"Phoebe","Oy!!","non-neutral","0200012"
"Monica","Whats with all this sand?","surprise","2000030"
"Phoebe","Oh, yeah, Bob said there might be flood damage.","neutral","3010010"
"Ross","Yeah, either that, or he has a really big cat.","neutral","4000001"
"Joey","Okay, see that blind guy right there? I'm gonna bash his head in later.","anger","2000300"
"Joey","Oh umm, my big scene is coming up. Big scene coming up.","joy","1400000"
"Chandler","If you said, ""Big lima bean, bubbling up."" Would she understand the difference?","neutral","4000001"
"Monica","Rach? What are you doing?","neutral","3000020"
"Rachel","Oh boy, I just can't watch. It's too scary!","fear","0005000"
"Monica","It's a diaper commercial.","neutral","3000020"
"Rachel","Oh yeah well, you know me, babies, responsibilities, ahhh!!!","fear","0013001"
"Caitlin","Pizza delivery!","joy","1300010"
"Ross","I'll get it! I will get that!","joy","2300000"
"Caitlin","Hi!","joy","2300000"
"Ross","Hi!","joy","2300000"
"Ross","Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?","neutral","5000000"
"Joey","Uhh, the ball thing.","neutral","5000000"
"Ross","Yeah?","neutral","5000000"
"Joey","Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!","joy","0500000"
"Ross","Uhh,","neutral","5000000"
"Joey","Okay!","joy","1400000"
"Joey","Uh-oh.","fear","1003010"
"Ross","What?","neutral","3000020"
"Joey","I have to pee. And Rachel's in the bathroom!","non-neutral","1022000"
"Joey","Man, I didn't think we were gonna make it!","surprise","1100030"
"Ross","I know!  Don't switch hands, okay?","fear","1003010"
"Joey","Hey.","neutral","5000000"
"Phoebe","Hey!","neutral","3200000"
"Rachel","How did it go with Erin?","neutral","4001000"
"Joey","Oh, unbelievable! We had the best time!","joy","0500000"
"Phoebe","Yay!! Oh so, youre not, youre not mad at us anymore?","joy","1300010"
"Joey","No!","non-neutral","2200010"
"Joey","No!","non-neutral","2200010"
"Joey","No!","non-neutral","2200010"
"Joey","You guys were totally right!","joy","0400010"
"Joey","This is so much better than the first time we went out.","joy","0400010"
"Joey","Yknow?","neutral","4001000"
"Joey","That was so awkward, we were really nervous.","neutral","3010001"
"Phoebe","Didnt you sleep together?","neutral","3000011"
"Joey","Yeah, that really calms me down.","neutral","4100000"
"Joey","And!","non-neutral","2200010"
"Joey","We have so much in common!","joy","0400010"
"Joey","She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a","non-neutral","1200020"
"Rachel","Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.","surprise","0101030"
"Joey","Okay.","neutral","5000000"
"Monica","How does she do that?","surprise","1000040"
"Ross","I cannot sleep in a public place.","neutral","3001001"
"Monica","Would you look at her? She is so peaceful.","non-neutral","1200020"
"Phoebe","Oh! What what what! ...Hi.","surprise","1000040"
"Ross","It's okay, y'know, you just nodded off again.","neutral","5000000"
"Monica","What's going on with you?","surprise","1000040"
"Phoebe","I got no sleep last night!","anger","1000400"
"Ross","Why?","neutral","3000020"
"Phoebe","My grandmother has this new boyfriend, and they're both kind of insecure in bed.","disgust","1010003"
"Phoebe","Oh, and deaf.","neutral","3010001"
"Phoebe","So they're constantly, like, having to reassure each other that they're having a good time.","neutral","3000002"
"Phoebe","You have no idea how loud they are!","disgust","1000013"
"Monica","Well, if you want, you can stay with Rachel and me tonight.","neutral","5000000"
"Phoebe","Thanks.","joy","2300000"
"Joey","Ew! What is that? Something exploded!","disgust","0000023"
"Nurse","It's just her water breaking. Calm down, will you?","neutral","3000200"
"Joey","Water breaking, what do you mean? What's that, water breaking?","surprise","1000031"
"Nurse","Breathe, breathe, breathe.","neutral","4001000"
"Monica","Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.","surprise","0001130"
"Chandler","Okay! You dont think I thought of that?","non-neutral","1002020"
"Phoebe","How can you not know which one?","surprise","1000130"
"Rachel","I mean thats unbelievable.","non-neutral","2000021"
"Monica","I mean, was it Gina?","neutral","3000020"
"Ross","Which one is Gina?","neutral","5000000"
"Rachel","Dark, big hair, with the airplane earrings.","neutral","5000000"
"Monica","No, no, no, thats Dina.","neutral","5000000"
"Chandler","You see you cant tell which one is which either, dwha!!","surprise","0000041"
"Rachel","I dont know, you thought See you Saturday was funny.","neutral","3100010"
"Rachel","Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.","neutral","4100000"
"Rachel","You guys would never want to go to a lecture with me.","neutral","3020000"
"Ross","Pa-haa!! I would love to go with you.","joy","0500000"
"Rachel","Really!?","surprise","1000040"
"Ross","Yeah, hey I-I have clothes, I even pick them out.","neutral","3100010"
"Ross","I mean for, for all you know I could be a fashion..... monger.","neutral","3100010"
"Rachel","Okay. Honey, I would love for you to go with me.  What?","joy","0300020"
"Ross","What should I wear, now Im all nervous.","fear","0005000"
"Mr. Treeger",": I know, we did it!! Hey, that was incredible, huh?!","joy","0500000"
"Joey","I know, it was amazing! I mean, we totally nailed it, it was beautiful.","joy","0500000"
"Mr. Treeger",": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.","joy","1400000"
"Joey","Oh well, okay, good luck.","non-neutral","1120100"
"Mr. Treeger",": Yeah.","neutral","5000000"
"Joey","Unless you wanna practice the Foxtrot again? Or-or the Tango?","neutral","4010000"
"Mr. Treeger",": Ahh, thanks but no. You see I-I think Im ready to dance with girls.","neutral","4000001"
"Joey","Okay.","neutral","4010000"
"Mr. Treeger",": Yeah.","neutral","5000000"
"Joey","Go get em Treeger.","neutral","4100000"
"Mr. Treeger",": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.","neutral","5000000"
"Joey","Really?","surprise","0100040"
"Mr. Treeger",": Yeah, you could dance real good with her, shes the same size as me.","neutral","4100000"
"Joey","No, Im good.","neutral","3001001"
"Ross","Oh God, this is so nerve wracking! How-how do you do this?","non-neutral","0002120"
"Joey","Well, unfortunately, I don't get many callbacks so","neutral","3020000"
"Carol","Is it a good sign that they asked us to hang around after the audition?","surprise","2000030"
"Joey","Who knows?","neutral","3001010"
"The Casting Director","Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.","neutral","5000000"
"Ross","Yes!! I knew it!!  Bye-bye! So long! Later!","joy","0500000"
"Joey","Oh this is great! I might actually get to play Ben's dad!","joy","0500000"
"Ross","Yeah!","joy","0500000"
"The Casting Director","Actually, that can't happen.","neutral","4010000"
"The Casting Director","Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.","neutral","5000000"
"The Casting Director","So it'll be either you two  or you two.","neutral","5000000"
"Joey","Man, this is gonna be kinda weird.","non-neutral","1011011"
"Ross","Yeah, it is.","neutral","3010010"
"Ross","No, we-we're gonna be like best friends, that's why it's gonna be weird.","neutral","3101000"
"Monica","Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.","non-neutral","2012000"
"Chandler","Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.","joy","0300200"
"Ross","Please!","non-neutral","0010211"
"Ross","Are you kidding?","non-neutral","0010121"
"Ross","I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.","non-neutral","0220100"
"Ross","And its all because of you, wonderful, amazing you.","joy","0500000"
"Emily","I think youve got concussion.","fear","1003010"
"Ross","No, no, Im serious. Thank you.","joy","1400000"
"Emily","Youre welcome.  Im sorry. Did I hurt you?","fear","1003010"
"Ross","Its worth the pain.  Yknow what, you know what? Its not.","non-neutral","0210110"
"Monica","Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.","surprise","0100040"
"Chandler","I do! Want a hint? huh? ""I do""  ""I do"".","non-neutral","2200010"
"Monica","Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.","neutral","3100001"
"Chandler","David is going to propose to Phoebe.","joy","1400000"
"Monica","What?  Why?","surprise","0000050"
"Chandler","Be-cause, we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married.","non-neutral","2201000"
"Monica","Chandler, we have talked about this.","anger","1010300"
"Monica","You are not supposed to give people advice!","anger","1000400"
"Monica","Now couldn't you just have made some sort of inappropriate joke?","non-neutral","0000212"
"Chandler","I","neutral","4010000"
"Monica","They've only been going out for a few weeks and Phoebe is completely hung up on Mike!","anger","0000320"
"Monica","She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone","non-neutral","0011201"
"Chandler","Man, that's some","non-neutral","2021000"
"Ross","Oh, that's not what you want...","neutral","4010000"
"Elizabeth","This is my father, Paul Stevens. Dad, this is Ross Geller.","neutral","4100000"
"Ross","It-its great to meet you Paul.","joy","1301000"
"Paul","I usually prefer Elizabeths boyfriends to address me as Mr. Stevens.","neutral","3000101"
"Ross","Of course, of course, Mr. Stevens.","neutral","3001010"
"Paul","So Ross, what your problem?","anger","0000401"
"Ross","Eh-whExcuse me?","surprise","1001030"
"Paul","Why cant you get a girlfriend your own age?","anger","0000311"
"Ross","Thats funny. Umm.  Its not funny.","fear","0013100"
"Paul","I","neutral","4000010"
"Ross","Okay.","neutral","4010000"
"Ross","I can, I can see that.","neutral","3011000"
"Ross","Umm, but I think if you give me umm, one chance I can, I can change your mind.","fear","2003000"
"Paul","Okay.","neutral","4000100"
"Ross","What?","neutral","3000020"
"Paul","Okay. Ill give you one chance to change my mind.  You got one minute.","anger","1000301"
"Elizabeth","Daddy!","surprise","1000040"
"Joey","Oh well, its not on TV yet.","neutral","5000000"
"The Dry Cleaner","Well, then its not on the wall yet.","neutral","4000100"
"Joey","Okay, fine, I will bring you a tape, huh?","neutral","4001000"
"Phoebe","So umm, now do you have any of Matt Lauers clothes here? Maybe? Just ones that havent been cleaned yet?","neutral","3101000"
"Joey and Chandler","Ooooohh!","surprise","0100040"
"Phoebe","Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.","neutral","3000002"
"Monica","Was it...?","surprise","2000030"
"Phoebe","Oh, boy scouts could have camped under there.","neutral","3000002"
"Rachel","""Ooo,"" what?","surprise","1100030"
"Phoebe","Uma Thurman.","neutral","4100000"
"Monica","Oh!","surprise","0000050"
"Ross","The actress!","surprise","0200030"
"Ross","Thanks Rach.","neutral","4100000"
"Chandler","So what are you gonna do?","surprise","2000030"
"Ross","You have to tell her!","joy","0301100"
"Ross","You have to tell her!","joy","0300200"
"Ross","It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!","non-neutral","0200102"
"Ross","Guys?","non-neutral","1002110"
"Ross","Guys?","non-neutral","1002020"
"Chandler","Oh, yeah, you have to tell her.","neutral","5000000"
"Joey","Feminist issue. That's where I went!","neutral","4000010"
"Phoebe","She is gonna hate me.","fear","0023000"
"Ross","Yeah, well...","neutral","5000000"
"Chandler","Will you marry me?","non-neutral","2200010"
"Joey","Its the big night! We wanted to wish you good luck!","joy","0500000"
"Ross","Yeah, yeah you have the ring?","neutral","3200000"
"Chandler","Yeah, right here in my pocket.  Pheebs?","neutral","4100000"
"Phoebe","Oh! Oop!","surprise","0001040"
"Chandler","Okay, now will you guys get out of here? I want this is to be a surprise and shes gonna know.","neutral","3100100"
"Ross","Yeah-yeah you guys. Get out of here!","neutral","3100100"
"Monica","Hi guys.","neutral","5000000"
"Chandler","You are beautiful.","joy","1400000"
"Monica","Oh, thank you!   Whats going on?","joy","1300010"
"Rachel","Were just reallyvery excited about this charity event that we have to go to.","neutral","3200000"
"Rachel","Okay umm, Ross?","neutral","5000000"
"Rachel","I'm-I'm really warm, so I'm going to be taking off my sweater.","neutral","4001000"
"Rachel","Now, I'm just letting you know that this is","neutral","4001000"
"Ross","Yep! That's hilarious!","joy","0400001"
"Rachel","I'm sorry. I'm done. I'm done.","neutral","3110000"
"Ross","Y'know, last night was embarrassing for you too.","neutral","5000000"
"Rachel","No, not really. I mean you've seen me naked hundreds of times.","neutral","5000000"
"Ross","Uh-huh. But it was a first for the rest of my building.","neutral","4000010"
"Rachel","Okay. All right, that's true! But y'know I just don't embarrass that easily.","neutral","3100010"
"Ross","What?! You totally get embarrassed!","surprise","0000050"
"Rachel","No, I don't! Ross, I think I'm just a more secure person than you are.","neutral","4000010"
"Ross","Is that so?","neutral","3000020"
"Rachel","Yeah.","neutral","4000010"
"Ross","Hey lady! I don't care how much you want it! Okay?! I am","disgust","0000104"
"Phoebe","I cant believe it!","surprise","0100040"
"Phoebe","I did it!","joy","0400010"
"Phoebe","I rode a bike!","joy","1300010"
"Phoebe","I never thought Id be able to do that!","joy","0300020"
"Phoebe","Thank you Ross.","joy","1400000"
"Ross","Oh hey, dont thank me, thank yourself. Youre the one who faced her fears and ultimately overcame them.","joy","1400000"
"Chandler","Well yeah, but then","non-neutral","2102000"
"Ross","YeahNo-but-but-but-but! Were just gonna go home and take a shower. Now, thats not scary right?","non-neutral","2201000"
"Chandler","Depends on what you mean by we.","neutral","3001010"
"Ross","Hey, both you guys should be up there with me.","neutral","4100000"
"Ross","I mean, you two are-are my I mean, Im lucky to have just one good","neutral","3101000"
"Chandler","Thanks man.","neutral","3200000"
"Joey","I gotta go check something over here.","neutral","4001000"
"Chandler","What a baby.","non-neutral","2000102"
"Ross","Total wuss!","non-neutral","0100112"
"Phoebe","David?","neutral","3000020"
"David","Phoebe! Hi!","joy","0400010"
"Phoebe","Oh my God!","surprise","0100040"
"David","Wow, you look unbelievable.","joy","0400010"
"Phoebe","Yeah. What-what are you doing here?","surprise","1001030"
"David","Well, I'm back from Minsk... permanently.","non-neutral","2210000"
"Phoebe","What happened?","surprise","1000040"
"David","Well, remember how I was trying to achieve the positronic distillation of subatomic particles?","neutral","4100000"
"Phoebe","Yeah?","neutral","5000000"
"David","Well, after eight years of research I discovered that it can't be done.","sadness","0040001"
"Phoebe","Well, it's great that you're back! How are you?","joy","0300020"
"David","Good, good, life is good...","non-neutral","2120000"
"Phoebe","Good!","joy","1400000"
"David","Ah well, I-I'm seeing someone.","non-neutral","2021000"
"Phoebe","Oh, good for you.","neutral","4010000"
"David","She's also a scientist, so she's very smart and pretty and... well, it's actually because of you, really, that we're together, I mean, I saw what you had with that Mike guy, and I just said ""Boy, I want that"".","non-neutral","2210000"
"Phoebe","Mike and I broke up.","sadness","2030000"
"Chandler","It means that we can keep trying, but there's    a good chance this may never happen for us.","sadness","1030001"
"Monica","Oh my God!","surprise","0000041"
"Chandler","I'm sorry.","sadness","0040001"
"Monica","I'm sorry too.","sadness","0040001"
"Chandler","Well, we're gonna... we're gonna figure this out.","non-neutral","2021000"
"Monica","I know.","non-neutral","2111000"
"Monica","Okay, we have a lot of options here, a number of prototypes for you to try on.","neutral","4100000"
"Joey","Wow! This looks great!","joy","0300020"
"Monica","Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.","non-neutral","2200001"
"Joey","And-and-and-and-and the toothpicks?","non-neutral","2002010"
"Monica","You kissed another woman!","non-neutral","0000221"
"Chandler","Call it even?!","neutral","3001100"
"Monica","Okay!","non-neutral","1200200"
"Ross","Well, Im gonna go get these  in some water.","neutral","5000000"
"Phoebe","Wait you stole those from these peoples wedding?","surprise","0000041"
"Ross","No-no, I took them from the hotel lobby.","neutral","3000020"
"Ross","Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.","anger","0000302"
"Ross","Hey!","surprise","0100040"
"Ross","My sweater!","surprise","0000050"
"Ross","Ive been looking for this for like a month!","surprise","0200030"
"Phoebe","Oh my God!!","surprise","0100040"
"Joey","Oh my God!","surprise","0100040"
"Kate","Happy?! Is that what Im supposed to be Vic? Happy?","non-neutral","0100112"
"Joey","Well, why dont you tell me what youre supposed to be!","anger","1000310"
"Joey","Huh?","surprise","1000130"
"Joey","Because I sure as hell cant figure it out!","anger","0000401"
"Joey","I talk to you and nothin.","non-neutral","1010201"
"Joey","You look at me, and its nothin.","non-neutral","1010201"
"Joey","Nothing.","non-neutral","2010101"
"The Director","Tasty! Im really starting to feel like you guys have a history, its-its nice.","joy","2300000"
"Kate","I have a question about this scene.","neutral","4000010"
"The Director","Yes?","neutral","4000010"
"Kate","Well, I dont understand why Adriennes attracted to Victor.","non-neutral","2000120"
"The Director","Peel the onion. First of all, hes good looking.","neutral","5000000"
"Joey","Yeah.","neutral","4000010"
"Kate","I think my characters gonna need a little bit more of reason than that.","neutral","5000000"
"Joey","Oh, hey, how about this one.","neutral","4000100"
"Joey","Ah, its says so in the script!","non-neutral","0000221"
"Joey","Y'know ah, I-I dont know why my character likes you either, I mean it says in the script here that youre a bitch.","non-neutral","1000211"
"Kate","It doesnt say that in the script.","anger","2000300"
"Joey","It does in mine!","non-neutral","2000210"
"Phoebe","I cant","non-neutral","2002001"
"Joey","Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.","non-neutral","1000112"
"Chandler","Yknow who has a great video camera?","neutral","5000000"
"Phoebe","Greg and Jenny?","neutral","5000000"
"Monica","Do you still wanna call em? I wanna call em.","neutral","3101000"
"Chandler","Lets call em.","neutral","4100000"
"Joey","Yeah! Ask them if they brought their friends any souvenirs!","joy","0400100"
"Monica","Hello?  Eighth street deli?","neutral","5000000"
"Joey","Hey, hang up! You get food poisoning just talkin to that place.","disgust","0000005"
"Monica","Uh sorry, wrong number.","non-neutral","2011001"
"Chandler","Here you go.","neutral","3100010"
"Monica","Hello?   Its the deli again!","surprise","1001030"
"Joey","All right! Ill have a sandwich!","joy","0400010"
"Monica","I dont think this numbers right!","non-neutral","1001120"
"Rachel","Oh come on!!","non-neutral","0000212"
